CL,Descriptive_JobTitle,skills,primary skills,business_type,req_type,priority,Rec_Status,req_category,HSU,Assigned_HSU,rec_city,positions,Unresponded_Pos_Opcl,Unresponded_Pos_Hold,rejections,max submission,submissions,hits,hires,Sourced,Rec_location,Metro_Area,Total_starts,Total_hires,Total_perm_hires,Total_perm_starts,BD,CLis_missing,Descriptive_JobTitleis_missing,skillsis_missing,primary skillsis_missing,business_typeis_missing,req_typeis_missing,priorityis_missing,Rec_Statusis_missing,req_categoryis_missing,HSUis_missing,Assigned_HSUis_missing,rec_cityis_missing,Rec_locationis_missing,Metro_Areais_missing,Actual_billrate,predicted_billrate
4,7328,16846,1416,2,1,2,1,1,11,2,484,1,0,0,0,2,0,0,0,0,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.0,105.3164
4,6279,14226,385,2,4,4,1,1,14,1,484,1,0,0,0,2,3,0,0,6,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125.0,111.6411
4,5833,4775,577,3,1,5,1,1,9,1,423,2,0,0,0,4,0,0,0,0,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,120.0,104.68539999999996
4,4427,5126,207,2,4,6,3,1,17,2,482,1,0,0,0,2,6,0,0,2,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,89.8259
4,6917,7056,1447,2,4,6,3,1,6,1,440,1,0,0,0,2,3,0,0,4,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,86.4866
4,6927,4568,1277,2,1,2,3,1,6,1,498,2,0,0,1,2,4,1,0,4,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80.0,87.68540000000002
2,3768,15936,1257,2,4,6,3,1,12,1,5,1,0,0,0,2,2,0,0,4,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,104.63,100.9861
4,2893,9519,577,2,1,5,3,1,9,2,328,3,0,0,2,6,5,2,2,5,53,195,2,2,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,121.73,116.71599999999992
4,676,9627,1974,2,1,8,1,1,12,1,484,1,0,0,0,2,0,0,0,0,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,106.75,96.9378
2,4597,1554,1362,2,1,2,1,1,16,2,537,2,0,0,0,4,1,0,0,1,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,132.7,116.70730000000005
4,688,9696,1416,2,4,4,6,1,14,1,102,1,0,0,0,2,0,0,0,0,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57.0,60.78
4,7029,2409,577,2,4,6,3,1,9,1,102,1,1,0,0,2,0,0,0,0,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80.5,88.1719
4,4289,13838,313,2,4,4,4,1,3,1,349,1,0,1,0,2,0,0,0,0,56,102,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,89.6286
4,1640,6513,1289,2,1,2,3,1,4,1,552,1,0,0,1,2,3,1,1,4,34,110,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,95.5946
4,4478,11719,1277,2,4,6,1,1,12,1,498,1,0,0,0,2,0,0,0,0,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,78.72,78.46850000000008
4,1640,13700,318,2,4,6,3,1,4,1,17,1,0,0,0,2,2,0,0,2,15,8,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,75.0,83.7518
4,688,13470,1416,2,4,4,6,1,14,2,102,1,0,0,0,2,1,0,0,1,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57.0,61.11679999999999
4,3832,984,385,2,4,4,3,1,12,1,260,1,0,0,0,2,3,0,0,6,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,83.41019999999999
4,3906,2320,637,2,4,6,5,1,17,1,482,1,1,0,0,2,0,0,0,2,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85.5,84.383
4,4056,16044,637,3,1,1,1,1,12,1,102,1,0,0,0,2,2,0,0,2,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,69.0,80.00399999999996
4,1443,3379,457,2,4,4,1,1,3,1,528,5,0,0,0,10,1,0,0,1,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,103.95,112.81600000000002
4,2260,12987,1262,2,4,6,1,1,12,1,373,1,0,0,0,2,3,0,0,6,36,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105.0,84.10910000000001
