Actual_billrate
60.18
65.0
101.67
75.0
92.39
88.32
85.5
70.0
85.5
51.29
85.5
80.5
92.39
82.23
55.0
110.75
99.73
110.0
130.0
103.83
96.93
54.08
85.5
99.74
85.5
101.67
66.5
70.0
85.5
83.0
125.0
120.0
85.5
85.5
80.0
104.63
121.73
106.75
132.7
57.0
80.5
85.5
85.5
78.72
75.0
57.0
85.5
85.5
69.0
103.95
105.0
85.5
109.0
85.5
78.48
74.0
115.0
66.0
85.5
57.0
85.5
90.0
124.09
102.0
85.79
70.0
85.5
78.85
85.5
92.39
100.0
115.0
57.0
110.0
85.5
88.51
112.0
100.0
80.5
114.0
105.0
82.0
90.0
99.74
85.5
85.5
85.5
122.3
85.5
57.0
72.0
130.0
130.0
101.67
91.81
100.0
80.5
119.05
128.7
76.06
85.5
105.0
41.35
45.0
99.5
90.0
91.75
86.69
85.5
90.63
85.5
70.0
111.3
83.56
105.0
125.0
85.5
85.5
85.5
85.5
80.5
70.0
85.5
125.0
89.0
85.5
85.5
85.79
40.0
76.0
85.5
85.98
84.0
80.5
50.0
76.02
85.5
79.8
57.0
90.0
96.93
118.8
85.5
76.0
96.93
83.56
85.5
40.0
150.0
91.64
99.0
66.5
85.5
85.5
76.0
121.7
105.0
101.67
71.0
85.5
57.0
78.48
106.5
47.0
57.0
71.0
85.5
62.73
75.0
90.0
130.0
85.0
88.51
93.21
94.05
64.5
42.0
85.5
85.5
85.5
77.0
57.0
85.5
80.0
60.13
83.56
120.0
85.5
76.66
76.0
96.93
80.5
80.5
87.65
150.0
85.5
65.0
120.0
71.19
135.0
78.72
85.5
92.39
96.6
87.0
76.0
85.5
76.0
85.5
99.74
107.0
101.0
58.54
75.0
85.5
130.0
85.5
85.5
90.2
42.08
90.0
123.75
96.93
150.0
120.0
100.0
75.0
90.0
92.39
72.67
51.86
99.0
85.5
78.72
70.0
78.72
66.5
85.98
98.26
70.0
55.0
100.0
117.06
80.5
118.3
80.5
80.5
102.4
92.39
69.0
118.75
85.5
129.11
85.5
91.64
99.74
85.5
120.0
